istat_r,istat_p,istat_c,nome,xc,yc
6,30,30067,Ovaro,12.853581243804168,46.485429442346664
6,30,30068,Pagnacco,13.176799736811864,46.12819072261017
6,30,30069,Palazzolo dello Stella,13.085688641667186,45.78282438877969
6,30,30070,Palmanova,13.325443180147618,45.908253760892855
6,30,30071,Paluzza,12.987874181465852,46.56320969775915
6,30,30072,Pasian di Prato,13.165584677048914,46.05875094346957
6,30,30073,Paularo,13.120917465911365,46.54816375374924
6,30,30074,Pavia di Udine,13.276872113308736,45.97846479124756
6,30,30075,Pocenia,13.11544987435,45.85697754767286
6,30,30076,Pontebba,13.307585751513791,46.50836636059885
6,30,30077,Porpetto,13.209558986640001,45.859394623129326
6,30,30078,Povoletto,13.297685094072813,46.13650871522911
6,30,30079,Pozzuolo del Friuli,13.208007411523406,45.994817703414896
6,30,30080,Pradamano,13.296113099521428,46.03719779333571
6,30,30081,Prato Carnico,12.730267979868941,46.507624335084095
6,30,30082,Precenicco,13.06365018787869,45.76038985868851
6,30,30083,Premariacco,13.380749698466962,46.04160165885178
6,30,30084,Preone,12.879053042530954,46.35981482350476
6,30,30085,Prepotto,13.521273260438761,46.07147997137442
6,30,30086,Pulfero,13.48125942138932,46.19609945719417
6,30,30087,Ragogna,12.982028604880325,46.175012977598364
6,30,30088,Ravascletto,12.926648763291764,46.53948232590705
6,30,30089,Raveo,12.856992219406944,46.442699353648614
6,30,30090,Reana del Rojale,13.245215600956364,46.15254660364362
6,30,30091,Remanzacco,13.328693250139475,46.08809398600438
6,30,30092,Resia,13.353085915613908,46.35412714990397
6,30,30093,Resiutta,13.225489732686487,46.37964131946351
6,30,30094,Rigolato,12.835316349710666,46.558594778819995
6,30,30095,Rive d'Arcano,13.030027821376828,46.126504706260974
6,30,30097,Ronchis,13.001797806529634,45.81825714069166
6,30,30098,Ruda,13.385867403357732,45.836933621626805
6,30,30099,San Daniele del Friuli,13.00824443740263,46.162694032776315
6,30,30100,San Giorgio di Nogaro,13.223143299808035,45.808813676978566
6,30,30101,San Giovanni al Natisone,13.408621835993847,45.95969045090153
6,30,30102,San Leonardo,13.540508587346428,46.12353556210714
6,30,30103,San Pietro al Natisone,13.502595992984148,46.136938712098775
6,30,30104,Santa Maria la Longa,13.27846111885077,45.95058555788307
6,30,30105,San Vito al Torre,13.382059819561706,45.90291747825958
6,30,30106,San Vito di Fagagna,13.058086841084211,46.08424856007544
6,30,30107,Sauris,12.683192793087324,46.46848709008521
6,30,30108,Savogna,13.552076424071428,46.18137908494572
6,30,30109,Sedegliano,12.96625828799348,46.01367205581086
6,30,30110,Socchieve,12.794114636877126,46.385697395335285
6,30,30111,Stregna,13.603091970350743,46.13137208597612
6,30,30112,Sutrio,12.969032464761817,46.49955469323093
6,30,30113,Taipana,13.354407665709674,46.255687599192484
6,30,30114,Talmassons,13.11363497364286,45.90718651955275
6,30,30116,Tarcento,13.225345173611366,46.22116035647841
6,30,30117,Tarvisio,13.585423233941519,46.47641638861871
6,30,30118,Tavagnacco,13.224253749069387,46.10984480016122
6,30,30120,Terzo d'Aquileia,13.315765440996875,45.780291064934374
6,30,30121,Tolmezzo,13.048551168380161,46.43366090006509
6,30,30122,Torreano,13.414310532958904,46.14661126883973
6,30,30123,Torviscosa,13.258314384761608,45.810952900891074
6,30,30124,Trasaghis,13.031534300879363,46.296179647596034
6,30,30126,Treppo Grande,13.155574910013637,46.19343613404545
6,30,30127,Tricesimo,13.204542927441071,46.16300683054822
6,30,30128,Trivignano Udinese,13.341325776866666,45.94111443123726
6,30,30129,Udine,13.250579663500961,46.06046148299039
6,30,30130,Varmo,12.988095521480165,45.8791021527248
6,30,30131,Venzone,13.169903558432729,46.348910595387274
6,30,30132,Verzegnis,12.951536849722974,46.36459641750541
6,30,30133,Villa Santina,12.943605803588097,46.40640239523095
6,30,30135,Visco,13.345275995524998,45.895429680266666
6,30,30136,Zuglio,12.991985517039433,46.47173704432536
6,30,30137,Forgaria nel Friuli,12.98728095580102,46.23345175010816
6,30,30138,Campolongo Tapogliano,13.404126040116669,45.86830251060556
6,30,30188,Rivignano Teor,13.055976487504067,45.86291830134715
6,30,30189,Sappada,12.695247967515176,46.57508106573839
6,30,30190,Fiumicello Villa Vicentina,13.420071389583333,45.77895615347501
6,30,30191,Treppo Ligosullo,13.06262118136585,46.53991194726707
6,31,31001,Capriva del Friuli,13.510658500182355,45.94947679428823
6,31,31002,Cormons,13.47190172046598,45.95755549927526
6,31,31003,Doberdò del Lago-Doberdob,13.572395511308109,45.84261178015
6,31,31004,Dolegna del Collio,13.486939221382455,46.01213951536666
6,31,31005,Farra d'Isonzo,13.529880858215554,45.90671935490889
6,31,31006,Fogliano Redipuglia,13.491026225487097,45.859935920925814
6,31,31007,Gorizia,13.59715606707143,45.94458565920111
