Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"AUTOPORTO S.ANDREA S.N.C., 34170, GORIZIA, GO",00430600312,PEVERE TRASPORTI E SPEDIZIONI S.R.L.,UL-5,45.915873,13.604769
"AUTOPORTO SANT ANDREA, 34170, GORIZIA, GO",00487290314,NEW SYSTEM S.R.L.,UL-1,45.915873,13.604769
"AUTOPORTO TECHNOAREA GORIZIA SNC, 34170, GORIZIA, GO",01147620312,TERMOVOLTAICA S.R.L.,SEDE,45.940192,13.612231
"AUTOSTRADA A/23 UD-TARVISIO SNC, 33010, COLLOREDO DI MONTE ALBANO, UD",02016640712,SARNI S.R.L.,UL-1,46.160872,13.134789
"AUTOSTRADA A23 KM 26+000, 33010, TAVAGNACCO, UD",09771701001,TELEPASS S.P.A.,UL-2,46.127465,13.210952
"AUTOSTRADA A23 UDINE/TARVISIO KM 37 SNC, 33010, COLLOREDO DI MONTE ALBANO, UD",09187300158,NUOVA SIDAP  S.R.L.,UL-7,46.160872,13.134789
"AUTOSTRADA A23 UDINE-TARVISIO KM 37 SNC, 33010, COLLOREDO DI MONTE ALBANO, UD",09187300158,NUOVA SIDAP  S.R.L.,UL-6,46.160872,13.134789
"AUTOSTRADA A28 KM29+400, 33070, BRUGNERA, PN",01135950317,FAST EAT ITALY SRL,UL-1,45.941079,12.56187
"AUTOSTRADA A4 VENEZIA/TRIESTE SNC, 33050, GONARS, UD",04269090272,LAGARDERE TRAVEL RETAIL ITALIA S.R.L.,UL-1,45.881071,13.258647
"AUTOSTRADA A4 VENEZIA-TRIESTE -, 34011, DUINO-AURISINA, TS",02538160033,AUTOGRILL ITALIA S.P.A.,UL-1,45.789717,13.583945
"AUTOSTRADA A4 VE-TS SNC, 34011, DUINO-AURISINA, TS",01135950317,FAST EAT ITALY SRL,UL-1,45.772055,13.603984
"AVIANO AB AREA F BLDG. 1413, 33081, AVIANO, PN",12885900154,SATOTRAVEL S.R.L.,UL-1,46.069545,12.588139
