cf,company,lat,lon,cluster
01142440310,FENIX INTERNATIONAL SRL,45.940181,13.620175,75
00566630323,TELEVITA - SOCIETA  PER AZIONI,45.915873,13.604769,75
01190200319,EMMECI SRL,45.915873,13.604769,75
00536120314,CEM-TIR ITALIANA S.R.L.,45.915873,13.604769,75
02850420304,BORDER TRANS SERVICE S.R.L.,46.506451,13.306246,0
00430600312,PEVERE TRASPORTI E SPEDIZIONI S.R.L.,45.915873,13.604769,75
00487290314,NEW SYSTEM S.R.L.,45.915873,13.604769,75
01135950317,FAST EAT ITALY SRL,45.941079,12.56187,61
01135950317,FAST EAT ITALY SRL,45.772055,13.603984,52
01699990931,ARCADIA S.R.L.,46.025682,12.612113,57
01072540329,IMPRESA FUNEBRE OPICINA S.R.L.,45.602723,13.854955,19
00836740324,MINGOT EST - S.R.L.,45.602723,13.854955,19
00836740324,MINGOT EST - S.R.L.,45.602723,13.854955,19
01068110327,FINN-MARINE S.R.L.,45.610429,13.848496,19
00572680320,INTERPORTO DI TRIESTE - S.P.A.,45.609179,13.846129,19
02458660301,CARR SERVICE SRL,45.609106,13.84607,19
01347100321,NOVE C S.R.L.,45.602723,13.854955,19
01230640326,NUOVA SAN GIUSTO S.R.L.,45.610429,13.848496,19
01003760327,HERVAT S.R.L.,45.602723,13.854955,19
01171780321,GORICA COSTRUZIONI S.R.L.,45.614535,13.858834,19
00946490323,CAMAPEL S.R.L.,45.610429,13.848496,19
01183760311,GESTINVEST SISTIANA - SOCIETA  A RESPONSABILITA  LIMITATA,45.7708,13.630654,52
14668071005,DRONUS S.P.A.,45.6398,13.855094,19
01665120307,CHIOSCO PARADISO S.R.L.,45.864233,13.16267,0
02047620303,A&T 2000 S.P.A.,45.607881,13.856732,19
00843810250,FILOMENA SRL,46.569423,12.702159,0
01626720930,ALEOLA S.R.L.,46.164366,12.899045,0
01456650934,DL SERVICES S.R.L.,46.183094,12.94559,0
01823070931,G.M. COSTRUZIONI S.R.L.,46.183094,12.94559,0
00290720937,TECNOMEK S.P.A.,46.16477,12.898601,0
02854740301,BRICIOLE DI BONTA  S.R.L.,45.903301,13.309657,49
02795520309,LBG CONSULENZE ASSICURATIVE S.R.L.,45.902846,13.309976,49
02940320308,IL GALLO ROSSO SRL,45.904616,13.310103,49
02220530303,PREINDL & PAOLONI S.R.L.,45.902986,13.309668,49
00167800309,DOLCIARIA PITTINI S.R.L.,46.206097,13.110705,67
01194560312,IFB SRLS,45.942848,13.628091,75
01194560312,IFB SRLS,45.943354,13.627649,75
01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,45.90615,13.311827,49
02217340302,C. & C. S.R.L.,45.906316,13.31218,49
01145570329,JETRENT S.R.L.,45.906484,13.313482,49
02838410302,OTTICA EPIS GIOVANNI S.R.L.,45.906646,13.313386,49
00941890329,AVALON - SOCIETA  A RESPONSABILITA  LIMITATA,45.736734,13.749002,0
01462330307,EDILTORRE S.R.L.,45.798952,13.351341,34
01924790304,PMP PRO - MEC S.P.A.,46.413702,12.933025,0
01023220310,ARTIS ARTIGIANATO ISONTINO SERVIZI S.R.L.,45.890037,13.494719,65
01731650931,DONNA S.R.L.,45.957184,12.658108,61
01176920310,SALONE CHARM S.R.L.,45.890037,13.494719,65
